request_lead_time,event,requested_date,event_date,lead_days,estimated_sandwiches
Under 2 weeks,Emory,2025-10-05T00:00:00.000Z,2025-10-05T00:00:00.000Z,0,300
Under 2 weeks,Emory,2025-10-05T00:00:00.000Z,2025-10-08T00:00:00.000Z,3,200
Under 2 weeks,NCJW,2025-10-05T00:00:00.000Z,2025-10-08T00:00:00.000Z,3,120
Under 2 weeks,Northview High School,2025-10-01T00:00:00.000Z,2025-10-08T00:00:00.000Z,7,500
Under 2 weeks,TPx,2025-10-02T00:00:00.000Z,2025-10-08T00:00:00.000Z,6,450
Under 2 weeks,Body GOALS PT,2025-10-10T00:00:00.000Z,2025-10-14T00:00:00.000Z,4,0
Under 2 weeks,Village Oaks Subdivision,2025-10-08T00:00:00.000Z,2025-10-15T00:00:00.000Z,7,100
Under 2 weeks,YMSL,2025-10-18T00:00:00.000Z,2025-10-18T00:00:00.000Z,0,400
Under 2 weeks,Christ The King School,2025-10-13T00:00:00.000Z,2025-10-22T00:00:00.000Z,9,
Under 2 weeks,Walton High School,2025-10-09T00:00:00.000Z,2025-10-22T00:00:00.000Z,13,250
Under 2 weeks,Altrusa International,2025-10-22T00:00:00.000Z,2025-10-24T00:00:00.000Z,2,500
Under 2 weeks,YMSL,2025-10-13T00:00:00.000Z,2025-10-25T00:00:00.000Z,12,220
Under 2 weeks,NCL,2025-10-20T00:00:00.000Z,2025-10-26T00:00:00.000Z,6,250
Under 2 weeks,NCL,2025-10-21T00:00:00.000Z,2025-10-29T00:00:00.000Z,8,200
2–4 weeks,Roswell Presbyterian Church,2025-09-09T00:00:00.000Z,2025-10-01T00:00:00.000Z,22,1000
2–4 weeks,The Swift School,2025-09-04T00:00:00.000Z,2025-10-01T00:00:00.000Z,27,300
2–4 weeks,CISV,2025-09-28T00:00:00.000Z,2025-10-12T00:00:00.000Z,14,200
2–4 weeks,Omega Phi Alpha at Kennesaw State University,2025-09-24T00:00:00.000Z,2025-10-13T00:00:00.000Z,19,100
2–4 weeks,Omega Phi Alpha at Kennesaw State University,2025-09-23T00:00:00.000Z,2025-10-13T00:00:00.000Z,20,
2–4 weeks,Sheraton Suites Galleria Atlanta,2025-09-30T00:00:00.000Z,2025-10-15T00:00:00.000Z,15,250
