Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
Request Lead Time,Total Events,Events With Estimates,Estimated Sandwiches,Share of Estimated Volume
Under 2 weeks,14,13,3490,29.3%
2–4 weeks,16,12,3120,26.2%
1–2 months,15,15,5320,44.6%
Total,45,40,11930,100.0%
